$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 5080, train acc: 0.6498480243161094, val acc: 0.5872340425531914
epoch: 5100, train acc: 0.6541033434650456, val acc: 0.5595744680851064
epoch: 5120, train acc: 0.6559270516717325, val acc: 0.6
epoch: 5140, train acc: 0.6462006079027356, val acc: 0.5829787234042553
epoch: 5160, train acc: 0.6589665653495441, val acc: 0.6212765957446809
epoch: 5180, train acc: 0.6699088145896657, val acc: 0.5702127659574469
epoch: 5200, train acc: 0.6565349544072948, val acc: 0.6106382978723405
epoch: 5220, train acc: 0.6668693009118541, val acc: 0.6021276595744681
epoch: 5240, train acc: 0.6644376899696048, val acc: 0.5829787234042553
epoch: 5260, train acc: 0.6613981762917933, val acc: 0.5936170212765958
epoch: 5280, train acc: 0.6620060790273556, val acc: 0.5765957446808511
epoch: 5300, train acc: 0.6613981762917933, val acc: 0.6042553191489362
epoch: 5320, train acc: 0.6595744680851063, val acc: 0.625531914893617
epoch: 5340, train acc: 0.6541033434650456, val acc: 0.6170212765957447
epoch: 5360, train acc: 0.6711246200607903, val acc: 0.6
epoch: 5380, train acc: 0.6504559270516718, val acc: 0.5638297872340425
epoch: 5400, train acc: 0.652887537993921, val acc: 0.5659574468085107
epoch: 5420, train acc: 0.6747720364741642, val acc: 0.6191489361702127
epoch: 5440, train acc: 0.6674772036474164, val acc: 0.5829787234042553
epoch: 5460, train acc: 0.6571428571428571, val acc: 0.5765957446808511
epoch: 5480, train acc: 0.6729483282674772, val acc: 0.6276595744680851
epoch: 5500, train acc: 0.6541033434650456, val acc: 0.5829787234042553
epoch: 5520, train acc: 0.6699088145896657, val acc: 0.5680851063829787
epoch: 5540, train acc: 0.660790273556231, val acc: 0.6170212765957447
epoch: 5560, train acc: 0.6613981762917933, val acc: 0.5851063829787234
epoch: 5580, train acc: 0.6656534954407295, val acc: 0.5957446808510638
epoch: 5600, train acc: 0.6522796352583586, val acc: 0.6212765957446809
epoch: 5620, train acc: 0.6699088145896657, val acc: 0.597872340425532
epoch: 5640, train acc: 0.6924012158054711, val acc: 0.5404255319148936
epoch: 5660, train acc: 0.6559270516717325, val acc: 0.597872340425532
epoch: 5680, train acc: 0.6595744680851063, val acc: 0.5702127659574469
epoch: 5700, train acc: 0.6498480243161094, val acc: 0.6021276595744681
epoch: 5720, train acc: 0.6741641337386018, val acc: 0.5808510638297872
epoch: 5740, train acc: 0.670516717325228, val acc: 0.648936170212766
epoch: 5760, train acc: 0.6492401215805471, val acc: 0.6042553191489362
epoch: 5780, train acc: 0.6680851063829787, val acc: 0.5659574468085107
epoch: 5800, train acc: 0.6674772036474164, val acc: 0.5872340425531914
epoch: 5820, train acc: 0.6741641337386018, val acc: 0.5553191489361702
epoch: 5840, train acc: 0.6723404255319149, val acc: 0.6063829787234043
epoch: 5860, train acc: 0.652887537993921, val acc: 0.597872340425532
epoch: 5880, train acc: 0.6638297872340425, val acc: 0.6234042553191489
epoch: 5900, train acc: 0.6486322188449848, val acc: 0.6297872340425532
epoch: 5920, train acc: 0.6559270516717325, val acc: 0.6106382978723405
epoch: 5940, train acc: 0.6680851063829787, val acc: 0.597872340425532
epoch: 5960, train acc: 0.6425531914893617, val acc: 0.6106382978723405
epoch: 5980, train acc: 0.6699088145896657, val acc: 0.5936170212765958
epoch: 6000, train acc: 0.6753799392097265, val acc: 0.6127659574468085
epoch: 6020, train acc: 0.6796352583586626, val acc: 0.5829787234042553
epoch: 6040, train acc: 0.670516717325228, val acc: 0.6212765957446809
epoch: 6060, train acc: 0.6468085106382979, val acc: 0.6276595744680851
epoch: 6080, train acc: 0.6668693009118541, val acc: 0.6234042553191489
epoch: 6100, train acc: 0.662613981762918, val acc: 0.6085106382978723
epoch: 6120, train acc: 0.6577507598784195, val acc: 0.5893617021276596
epoch: 6140, train acc: 0.6516717325227963, val acc: 0.5893617021276596
epoch: 6160, train acc: 0.6747720364741642, val acc: 0.5893617021276596
epoch: 6180, train acc: 0.6723404255319149, val acc: 0.5808510638297872
epoch: 6200, train acc: 0.6772036474164134, val acc: 0.6021276595744681
epoch: 6220, train acc: 0.6662613981762918, val acc: 0.6021276595744681
epoch: 6240, train acc: 0.6753799392097265, val acc: 0.6063829787234043
epoch: 6260, train acc: 0.670516717325228, val acc: 0.6063829787234043
epoch: 6280, train acc: 0.668693009118541, val acc: 0.5765957446808511
epoch: 6300, train acc: 0.662613981762918, val acc: 0.6021276595744681
epoch: 6320, train acc: 0.6589665653495441, val acc: 0.5872340425531914
epoch: 6340, train acc: 0.6650455927051672, val acc: 0.6042553191489362
epoch: 6360, train acc: 0.6729483282674772, val acc: 0.6127659574468085
epoch: 6380, train acc: 0.6729483282674772, val acc: 0.574468085106383
epoch: 6400, train acc: 0.6632218844984803, val acc: 0.6191489361702127
epoch: 6420, train acc: 0.6553191489361702, val acc: 0.574468085106383
epoch: 6440, train acc: 0.6753799392097265, val acc: 0.5787234042553191
epoch: 6460, train acc: 0.662613981762918, val acc: 0.6042553191489362
epoch: 6480, train acc: 0.6668693009118541, val acc: 0.5914893617021276
epoch: 6500, train acc: 0.660790273556231, val acc: 0.6319148936170212
epoch: 6520, train acc: 0.6699088145896657, val acc: 0.597872340425532
epoch: 6540, train acc: 0.6668693009118541, val acc: 0.6212765957446809
epoch: 6560, train acc: 0.6911854103343466, val acc: 0.5872340425531914
epoch: 6580, train acc: 0.6541033434650456, val acc: 0.597872340425532
epoch: 6600, train acc: 0.6717325227963525, val acc: 0.5893617021276596
epoch: 6620, train acc: 0.6662613981762918, val acc: 0.6085106382978723
epoch: 6640, train acc: 0.6565349544072948, val acc: 0.5872340425531914
epoch: 6660, train acc: 0.6589665653495441, val acc: 0.6042553191489362
epoch: 6680, train acc: 0.6814589665653495, val acc: 0.6021276595744681
epoch: 6700, train acc: 0.6772036474164134, val acc: 0.6021276595744681
epoch: 6720, train acc: 0.6844984802431611, val acc: 0.6063829787234043
epoch: 6740, train acc: 0.6814589665653495, val acc: 0.6085106382978723
epoch: 6760, train acc: 0.6680851063829787, val acc: 0.5851063829787234
epoch: 6780, train acc: 0.6613981762917933, val acc: 0.6127659574468085
epoch: 6800, train acc: 0.678419452887538, val acc: 0.6085106382978723
epoch: 6820, train acc: 0.6772036474164134, val acc: 0.5787234042553191
epoch: 6840, train acc: 0.6717325227963525, val acc: 0.6127659574468085
epoch: 6860, train acc: 0.6644376899696048, val acc: 0.5893617021276596
epoch: 6880, train acc: 0.6516717325227963, val acc: 0.6127659574468085
epoch: 6900, train acc: 0.6753799392097265, val acc: 0.5914893617021276
epoch: 6920, train acc: 0.6814589665653495, val acc: 0.6042553191489362
epoch: 6940, train acc: 0.6693009118541033, val acc: 0.6127659574468085
epoch: 6960, train acc: 0.6589665653495441, val acc: 0.5957446808510638
epoch: 6980, train acc: 0.668693009118541, val acc: 0.6425531914893617
epoch: 7000, train acc: 0.6577507598784195, val acc: 0.597872340425532
epoch: 7020, train acc: 0.6802431610942249, val acc: 0.5808510638297872
epoch: 7040, train acc: 0.6644376899696048, val acc: 0.5765957446808511
epoch: 7060, train acc: 0.6674772036474164, val acc: 0.6468085106382979
epoch: 7080, train acc: 0.6723404255319149, val acc: 0.5787234042553191
epoch: 7100, train acc: 0.6820668693009119, val acc: 0.6127659574468085
epoch: 7120, train acc: 0.6510638297872341, val acc: 0.5872340425531914
